"","dcshare","ry","cpi","rdiff","cashare","reer"
"Q1 1997",116.763503457111,212316,57.5,16.45,-3.78217210278035,51.86
"Q2 1997",116.250807181689,215235.066464749,59.43,17.18,-2.96833346102309,65.42
"Q3 1997",117.12651065274,214670.920840065,61.9,17.37,-2.35578670587961,69.61
"Q4 1997",121.321048358484,218287.773202407,63.14,17.55,-1.69421208777096,73.74
"Q1 1998",116.636263254851,224338.242133003,64.51,18.98,-4.83132325322034,83.94
"Q2 1998",118.663530544578,223738.077328118,66.47,17.61,-1.5613369401427,88.35
"Q3 1998",124.574954677657,225608.356627924,67.97,14.35,-2.7896065107665,86.96
"Q4 1998",129.271460754469,226108.225108225,69.3,12.86,-6.44227885100164,79.55
"Q1 1999",137.620733849568,227428.674041086,69.61,9.25,-5.31534029717061,71.47
"Q2 1999",137.748305952323,232705.615428247,70.52,8.31,-6.64086189245844,71.07
"Q3 1999",137.103102331785,237838.664617964,71.59,7.9,-7.00182123901809,73.1
"Q4 1999",135.407938399897,242503.73184964,73.69,9.26,-8.32720577948641,74.99
"Q1 2000",133.289232763733,241690,75,10.22,-7.9652612851173,78.93
"Q2 2000",141.824939401231,244596.576695194,75.95,10.04,-4.9583277485034,82.56
"Q3 2000",139.398797393754,245547.934528449,76.98,11.23,-5.23484997577012,82.79
"Q4 2000",133.504034183921,252726.997499013,75.97,13.84,-4.87977137107044,82.81
"Q1 2001",133.795898288867,249332.858438026,77.21,15.53,-3.83909087272914,80.47
"Q2 2001",135.173581281237,248183.73570521,78.7,14.5,-5.21321355760734,84.21
"Q3 2001",141.650549231807,250132.859138829,78.73,13.86,-2.51576197788448,82.99
"Q4 2001",145.476088648047,250881.808968837,78.94,12.98,-4.03166737441434,84.23
"Q1 2002",140.758366598066,251419.840677122,80.34,9.91,-4.16903847553377,86.33
"Q2 2002",146.97318410018,253677.431515456,79.58,8.6,-4.33064769797376,83.6
"Q3 2002",145.369649291206,256816.719044626,79.55,7.16,-2.76872916337286,81.67
"Q4 2002",146.520129138605,257052.776733108,79.77,6.09,-3.84099565473955,82.64
"Q1 2003",146.895783804764,257959.949937422,79.9,5.38,-4.70588520692834,81.49
"Q2 2003",146.982515999966,263357.731701224,80.06,4.73,-3.75359625733124,80.28
"Q3 2003",152.387008012566,266286.872972298,80.14,4.21,-2.65679423323929,81.85
"Q4 2003",149.22798116762,267041.953740157,81.28,4.17,-3.5055426886774,80.71
"Q1 2004",151.813971448144,274997.199220653,82.12,4.14,-6.7703651943495,81.31
"Q2 2004",150.031292995203,277232.673267327,82.82,3.61,-7.28006599185293,81.15
"Q3 2004",150.658516411054,275841.064280669,84.94,4.05,-5.73515766579001,82.13
"Q4 2004",150.19427743619,278754.115344768,86.87,4.01,-4.53514441447725,86.9
"Q1 2005",152.784200130796,281835.69932511,85.94,3.51,-2.27748198254735,94.1
"Q2 2005",145.447318163529,282238.54678396,87.53,2.16,-2.74834300369895,97.58
"Q3 2005",146.221946881432,287712.741490341,86.96,0.86,-3.33214492695697,100.02
"Q4 2005",151.651842515594,292998.365440747,85.65,-0.0300000000000002,-3.49513116195815,98.19
"Q1 2006",149.054912412484,297410.41931385,86.57,-0.63,-3.56085139834745,101.62
"Q2 2006",157.366622101638,304234.264518373,86.27,-1.2,-4.32483981545582,104.8
"Q3 2006",158.298647146376,309264.420331239,87.55,-1.23,-3.67748678724041,104.34
"Q4 2006",165.050396037002,304627.371422305,91.19,-1.22,-6.34426690406448,106.72
"Q1 2007",167.248823974484,318609.535506923,89.56,-1.21,-5.87970002807111,109.93
"Q2 2007",171.835703437048,322255.496921724,90.96,-0.87,-7.67236073792762,113.66
"Q3 2007",178.4127527343,327729.901423877,91.3,0.0899999999999999,-6.18196669043979,116.24
"Q4 2007",183.767567245616,332108.363792733,93.02,1.67,-7.72818968352414,110.8
"Q1 2008",192.898599120093,338500.645300065,92.98,3.34,-6.26853327800687,105.31
"Q2 2008",203.823488035973,339325.217945992,94.06,4.03,-8.0931405370128,107.61
"Q3 2008",217.801824936929,338176.741267517,95.62,5.5,-6.70073347546392,108.45
"Q4 2008",249.270075108943,339555.129533679,96.5,5.4,-7.64247764600253,104.28
"Q1 2009",255.320059778859,344891.930687993,97.53,3.7,-2.19488419258258,97.43
"Q2 2009",248.124359872465,345056.965250179,98.13,3.06,-4.03578039741953,99.84
"Q3 2009",234.767271394539,347068.934286001,99.37,2.71,-4.01340282948622,98.61
"Q4 2009",241.636826187297,355371.100497917,98.41,2.64,-4.9734488121521,98.71
"Q1 2010",238.207768005792,353872.512374987,98.99,2.71,-3.80907534833159,102.08
"Q2 2010",244.210703312238,359282.156431286,99.98,3.01,-4.00491021554783,98.57
"Q3 2010",239.156094374693,363996.409693827,100.27,2.92,-7.15596395630217,99.36
"Q4 2010",246.750181985489,367565.700674871,100.76,2.95,-7.06427705859609,99.99
"Q1 2011",240.648064645884,371711.98673559,102.53,3.38,-3.11888260879947,102.38
"Q2 2011",241.029797528256,376684.169508037,102.65,3.89,-6.03744106998722,106.02
"Q3 2011",250.455079484339,381509.541799864,103.23,4.43,-6.30950787936896,101.83
"Q4 2011",257.589479573199,383955.851369469,104.42,4.34,-6.87862394796854,100.04
"Q1 2012",255.321451244869,384214.55134929,104.87,4.29,-3.83663195556105,98.67
"Q2 2012",251.29920411668,383271.208832688,105.97,4.57,-3.20022651590228,96.88
"Q3 2012",250.243240229994,384959.916808471,105.78,4.72,-4.40075479371117,94.67
"Q4 2012",257.332807454335,382924.296771758,105.94,4.48,-4.59320630068775,96.14
"Q1 2013",263.391803976109,383169.818456883,105.76,3.72,-1.53597716318511,101.63
"Q2 2013",264.427874612466,387276.915799432,105.7,3.02,-0.383865512223352,101.63
"Q3 2013",263.48477690155,390216.172710918,105.61,2.45,-1.47528083098746,100.6
"Q4 2013",265.598874900924,391245.825170259,107.19,2.49,-3.34395545385959,100.68
"Q1 2014",268.949850260603,395303.798652695,106.88,2.49,-2.25591342215528,101.46
"Q2 2014",270.172045816314,399801.876172608,106.6,2.51,-2.89456691494474,102.92
"Q3 2014",276.034718287583,403111.16300794,107.05,2.51,-3.08262104300855,101.97
"Q4 2014",283.89800392164,405781.526861451,106.1,2.01,-1.76666336843856,101.01
"Q1 2015",279.630885572897,411499.440715884,107.28,1.78,0.482847011461602,99.69
"Q2 2015",280.68675748436,414764.656616416,107.46,1.45,-0.122031087301699,98.34
"Q3 2015",282.140691462679,420000.745781672,107.27,1.45,-2.63972505564498,97.69
"Q4 2015",285.951732481566,425232.055427252,108.25,1.2,-0.543383783710978,97.66
"Q1 2016",293.209896795016,423967.544510386,107.84,1.1,-0.153781682066707,97.19
"Q2 2016",293.162277247213,429517.781070568,107.98,1.2,1.40350022305195,96.58
"Q3 2016",290.56576706203,430569.281829077,108.47,1.17,-2.83438517381329,96.62
"Q4 2016",295.946509970371,440504.494486146,107.91,0.82,-0.205840600283918,95.73
"Q1 2017",285.983941092771,444616.715488832,109.24,0.63,1.71946305049235,94.54
"Q2 2017",282.575722671936,448557.811361981,109.84,0.45,-0.613376324016498,94.37
"Q3 2017",280.837529203877,453501.673450927,110.55,0.41,-0.454173274709826,95.2
"Q4 2017",287.098528308064,461625.419577248,110.23,0.0700000000000001,-1.79270814151998,96.23
"Q1 2018",280.682473000353,467334.358881549,110.51,-0.2,0.115867675397017,96.88
"Q2 2018",284.642229958878,473665.521294873,110.59,-0.37,-0.50841623766028,97.72
"Q3 2018",283.653796722366,479928.673963754,111.46,-0.68,-2.18294594511229,98.32
"Q4 2018",284.697276084907,484466.885653409,112.64,-0.9,-1.44387932274578,97.99
"Q1 2019",281.971318442164,493181.609398463,113.21,-0.88,1.91627760526956,97.22
"Q2 2019",277.965762657713,497134.099616859,114.84,-0.61,0.264940740097192,97.79
"Q3 2019",281.077800758984,501581.671913256,114.36,-0.0399999999999998,-0.277368478307864,97.42
"Q4 2019",280.751603175831,504053.39389784,116.68,0.28,1.31406263416475,96.78
"Q1 2020",286.976188222522,506027.890810444,117.96,1.32,3.50685739319379,97.17
"Q2 2020",326.355993773459,459994.891977893,119.42,0.3,3.840070165998,98.81
"Q3 2020",304.190165438747,493759.05339397,118.74,0.01,2.02739431628914,99.55
"Q4 2020",302.663647065522,493620.066998938,122.39,0.02,3.47503300550732,99.5
"Q1 2021",285.984917280191,500307.030129125,125.46,0.02,3.27337652695969,99.87
"Q2 2021",275.683425760897,510427.133687297,126.19,0,1.42494115893608,99.42
"Q3 2021",272.968754278829,523688.849500483,124.12,0.02,-2.15111601092057,99.36
"Q4 2021",270.177506567243,533018.064911206,130.64,0.72,-2.03005221051712,100.09
